Currency Name,Currency Code,Buying Rate (Cash),Buying Rate (Transfer),Selling Rate,icon,Date
RUSSIAN RUBLE,RUB,0.0,213.64,236.5,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_rub.svg?h=32&w=32&ts=20230709003433&hash=B5A31D5C371B6C922EBB4808605705EB,2025-01-02
SAUDI ARABIAN RIYAL,SAR,0.0,6763.16,7011.7,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sar.svg?h=32&w=32&ts=20230610195954&hash=732C766503BA27FF3A8764FAF20A2C0F,2025-01-02
SWEDISH KRONA,SEK,0.0,2254.79,2350.51,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sek.svg?h=32&w=32&ts=20230610195949&hash=88CF4CDE8DB12CA0D56485A05EC27A22,2025-01-02
US DOLLAR,USD,25220.0,25250.0,25550.0,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_usa.svg?h=32&w=32&ts=20230610195953&hash=4576D9B7C910424CC72B7A592BA369AE,2025-01-03
EURO,EUR,25477.63,25734.98,26874.49,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_eur.svg?h=32&w=32&ts=20230610195955&hash=10502813C2316A5601FD57F7A0C89A3A,2025-01-03
UK POUND STERLING,GBP,30717.04,31027.31,32022.58,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_gbp.svg?h=32&w=32&ts=20230610195950&hash=72ED63A02E20F8B413E65DE9B7F062AE,2025-01-03
JAPANESE YEN,JPY,156.2,157.77,165.28,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_jpy.svg?h=32&w=32&ts=20230610195953&hash=C5D3E7B6B5EEE49C3D5C3C3A8B6798B8,2025-01-03
AUSTRALIAN DOLLAR,AUD,15413.1,15568.78,16068.18,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_aud.svg?h=32&w=32&ts=20230610195950&hash=F70700292015EB326CA79643D4F05C03,2025-01-03
SINGAPORE DOLLAR,SGD,18141.1,18324.35,18912.14,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sgd.svg?h=32&w=32&ts=20230709003433&hash=C95A1CFD98A6896023B5EFE9D23459AA,2025-01-03
THAI BAHT,THB,654.76,727.52,755.37,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_thb.svg?h=32&w=32&ts=20230610195952&hash=AB6CDBA1C854ADE46132EBF0A6DCFEF4,2025-01-03
CANADIAN DOLLAR,CAD,17239.91,17414.05,17972.64,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_cad.svg?h=32&w=32&ts=20230610195951&hash=55B303641110059C97F6ABDE45B2FE20,2025-01-03
SWISS FRANC,CHF,27219.61,27494.56,28376.5,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_chf.svg?h=32&w=32&ts=20230610195952&hash=CBA2E48794BD6E04AAF8761C55AB07DF,2025-01-03
HONG KONG DOLLAR,HKD,3190.82,3223.05,3326.43,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_hkd.svg?h=32&w=32&ts=20230610195951&hash=E50E43ECCD43C736E273734DEEB000D8,2025-01-03
CHINESE YUAN,CNY,3399.38,3433.71,3543.86,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_cny.svg?h=32&w=32&ts=20230610195953&hash=1E37E5E1D30CA9F186D9B8A0A188AE7C,2025-01-03
DANISH KRONE,DKK,0.0,3441.27,3573.04,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_dkk.svg?h=32&w=32&ts=20230610195954&hash=7A1074CAFFF3E4469DD8DBFA9F95D1C0,2025-01-03
INDIAN RUPEE,INR,0.0,295.9,307.73,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_inr.svg?h=32&w=32&ts=20230610195952&hash=6E19DDEEC1053D83CE9C98283BE347AC,2025-01-03
KOREAN WON,KRW,15.02,16.69,18.11,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_krw.svg?h=32&w=32&ts=20230709003433&hash=43B80AF8FF6632988EB89EF0C30BDDE6,2025-01-03
KUWAITI DINAR,KWD,0.0,82325.62,85616.55,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_kwd.svg?h=32&w=32&ts=20230610195949&hash=76B738C67E5151DBB4F9D27A0DEA2FC3,2025-01-03
